School or area,Academic year,Subject,Measure,Value,Unit,Cohort definition,Status,Source URL,Source location,Checked on
England,2025/26,Reading,Higher standard,31,percent,All pupils; state-funded schools,Provisional,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment/2025-26-provisional,National headline tables,2026-09-22
Darell,2025/26,Writing,Expected standard,73,percent,"Whole cohort of 22, including specialist resource provision",School-reported,https://www.darell.richmond.sch.uk/news/?nid=2&pid=22&storyid=44,Whole-cohort results graphic,2026-09-22
Darell,2025/26,Writing,Higher standard,23,percent,"Whole cohort of 22, including specialist resource provision",School-reported,https://www.darell.richmond.sch.uk/news/?nid=2&pid=22&storyid=44,Whole-cohort results graphic,2026-09-22
England,2025/26,Writing,Expected standard,73,percent,All pupils; state-funded schools,Provisional,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment/2025-26-provisional,National headline tables,2026-09-22
England,2025/26,Writing,Higher standard,13,percent,All pupils; state-funded schools,Provisional,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment/2025-26-provisional,National headline tables,2026-09-22
Darell,2025/26,Maths,Expected standard,73,percent,"Whole cohort of 22, including specialist resource provision",School-reported,https://www.darell.richmond.sch.uk/news/?nid=2&pid=22&storyid=44,Whole-cohort results graphic,2026-09-22
Darell,2025/26,Maths,Higher standard,23,percent,"Whole cohort of 22, including specialist resource provision",School-reported,https://www.darell.richmond.sch.uk/news/?nid=2&pid=22&storyid=44,Whole-cohort results graphic,2026-09-22
England,2025/26,Maths,Expected standard,75,percent,All pupils; state-funded schools,Provisional,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment/2025-26-provisional,National headline tables,2026-09-22
England,2025/26,Maths,Higher standard,27,percent,All pupils; state-funded schools,Provisional,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment/2025-26-provisional,National headline tables,2026-09-22
Kew Riverside,2022/23,All subjects,Eligible pupils,12,pupils,All pupils; whole school cohort,Verified eligible-pupil count,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/3166c43a-c37e-4087-a0ec-4ed703f7a0b2,Eligible pupils,2026-09-22
Kew Riverside,2023/24,All subjects,Eligible pupils,Not verified,pupils,All pupils; whole school cohort,Not independently verified; not inferred,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/3166c43a-c37e-4087-a0ec-4ed703f7a0b2,Eligible pupils,2026-09-22
Kew Riverside,2024/25,All subjects,Eligible pupils,15,pupils,All pupils; whole school cohort,Verified eligible-pupil count,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/3166c43a-c37e-4087-a0ec-4ed703f7a0b2,Eligible pupils,2026-09-22
Darell,2022/23,All subjects,Eligible pupils,27,pupils,All pupils; whole school cohort,Verified eligible-pupil count,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/3166c43a-c37e-4087-a0ec-4ed703f7a0b2,Eligible pupils,2026-09-22
Darell,2023/24,All subjects,Eligible pupils,Not verified,pupils,All pupils; whole school cohort,Not independently verified; not inferred,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/3166c43a-c37e-4087-a0ec-4ed703f7a0b2,Eligible pupils,2026-09-22
Darell,2024/25,All subjects,Eligible pupils,23,pupils,All pupils; whole school cohort,Verified eligible-pupil count,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/3166c43a-c37e-4087-a0ec-4ed703f7a0b2,Eligible pupils,2026-09-22
