School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Darell Primary and Nursery School,102884,3182004,Pupils by curriculum year,2026-01,2025/26,Year 4,24,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Darell Primary and Nursery School,102884,3182004,Pupils by curriculum year,2026-01,2025/26,Year 5,24,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Darell Primary and Nursery School,102884,3182004,Pupils by curriculum year,2026-01,2025/26,Year 6,21,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils excluding nursery,2022-05,2021/22,,366,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Pupils excluding nursery,2023-05,2022/23,,394,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Pupils excluding nursery,2024-05,2023/24,,398,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Pupils excluding nursery,2025-05,2024/25,,392,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Reception,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Year 1,58,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Year 2,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Year 3,58,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Year 4,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Year 5,55,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
The King's Church of England Primary School,102921,3183327,Pupils by curriculum year,2026-01,2025/26,Year 6,48,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils excluding nursery,2022-05,2021/22,,408,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Reported capacity excluding nursery,2022-05,2021/22,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils excluding nursery,2023-05,2022/23,,413,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Reported capacity excluding nursery,2023-05,2022/23,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils excluding nursery,2024-05,2023/24,,400,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Reported capacity excluding nursery,2024-05,2023/24,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils excluding nursery,2025-05,2024/25,,405,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Reported capacity excluding nursery,2025-05,2024/25,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Reception,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Year 1,58,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Year 2,50,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Year 3,56,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
