School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Collis Primary School,102903,3182032,Reported capacity excluding nursery,2022-05,2021/22,,750,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Pupils excluding nursery,2023-05,2022/23,,652,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Reported capacity excluding nursery,2023-05,2022/23,,750,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Pupils excluding nursery,2024-05,2023/24,,656,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Reported capacity excluding nursery,2024-05,2023/24,,750,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Pupils excluding nursery,2025-05,2024/25,,627,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Reported capacity excluding nursery,2025-05,2024/25,,750,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Reception,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Year 1,91,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Year 2,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Year 3,91,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Year 4,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Year 5,87,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Collis Primary School,102903,3182032,Pupils by curriculum year,2026-01,2025/26,Year 6,89,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils excluding nursery,2022-05,2021/22,,299,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Pupils excluding nursery,2023-05,2022/23,,331,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Pupils excluding nursery,2024-05,2023/24,,360,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Pupils excluding nursery,2025-05,2024/25,,391,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Reception,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Year 1,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Year 2,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Year 3,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Year 4,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Year 5,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Deer Park School,142012,3182017,Pupils by curriculum year,2026-01,2025/26,Year 6,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils excluding nursery,2022-05,2021/22,,566,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Reported capacity excluding nursery,2022-05,2021/22,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Pupils excluding nursery,2023-05,2022/23,,576,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Reported capacity excluding nursery,2023-05,2022/23,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Pupils excluding nursery,2024-05,2023/24,,576,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Reported capacity excluding nursery,2024-05,2023/24,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Pupils excluding nursery,2025-05,2024/25,,602,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Reported capacity excluding nursery,2025-05,2024/25,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Reception,89,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Year 1,87,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Year 2,82,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Year 3,85,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Year 4,78,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Year 5,88,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
East Sheen Primary School,102885,3182006,Pupils by curriculum year,2026-01,2025/26,Year 6,84,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils excluding nursery,2022-05,2021/22,,360,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Reported capacity excluding nursery,2022-05,2021/22,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Pupils excluding nursery,2023-05,2022/23,,360,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Reported capacity excluding nursery,2023-05,2022/23,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Pupils excluding nursery,2024-05,2023/24,,349,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Reported capacity excluding nursery,2024-05,2023/24,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Pupils excluding nursery,2025-05,2024/25,,328,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Reported capacity excluding nursery,2025-05,2024/25,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Reception,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Year 1,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Year 2,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Year 3,67,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Year 4,75,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Year 5,79,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Hill Junior School,102886,3182007,Pupils by curriculum year,2026-01,2025/26,Year 6,85,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils excluding nursery,2022-05,2021/22,,345,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Reported capacity excluding nursery,2022-05,2021/22,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Pupils excluding nursery,2023-05,2022/23,,351,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Reported capacity excluding nursery,2023-05,2022/23,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Pupils excluding nursery,2024-05,2023/24,,345,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Reported capacity excluding nursery,2024-05,2023/24,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Pupils excluding nursery,2025-05,2024/25,,335,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Reported capacity excluding nursery,2025-05,2024/25,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Reception,115,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Year 1,112,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Year 2,109,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Year 3,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Year 4,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Year 5,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Infant School and Nursery,102888,3182009,Pupils by curriculum year,2026-01,2025/26,Year 6,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils excluding nursery,2022-05,2021/22,,442,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Reported capacity excluding nursery,2022-05,2021/22,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Pupils excluding nursery,2023-05,2022/23,,448,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Reported capacity excluding nursery,2023-05,2022/23,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Pupils excluding nursery,2024-05,2023/24,,461,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Reported capacity excluding nursery,2024-05,2023/24,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Pupils excluding nursery,2025-05,2024/25,,473,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Reported capacity excluding nursery,2025-05,2024/25,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Reception,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Year 1,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Year 2,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Year 3,120,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Year 4,122,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Year 5,119,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Junior School,102887,3182008,Pupils by curriculum year,2026-01,2025/26,Year 6,113,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils excluding nursery,2022-05,2021/22,,186,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Reported capacity excluding nursery,2022-05,2021/22,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Pupils excluding nursery,2023-05,2022/23,,171,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Reported capacity excluding nursery,2023-05,2022/23,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Pupils excluding nursery,2024-05,2023/24,,151,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Reported capacity excluding nursery,2024-05,2023/24,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Pupils excluding nursery,2025-05,2024/25,,139,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Reported capacity excluding nursery,2025-05,2024/25,,270,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Reception,51,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Year 1,43,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Year 2,34,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Year 3,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Year 4,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Year 5,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Hampton Wick Infant and Nursery School,102889,3182010,Pupils by curriculum year,2026-01,2025/26,Year 6,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils excluding nursery,2022-05,2021/22,,287,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Reported capacity excluding nursery,2022-05,2021/22,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Pupils excluding nursery,2023-05,2022/23,,284,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Reported capacity excluding nursery,2023-05,2022/23,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Pupils excluding nursery,2024-05,2023/24,,265,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Reported capacity excluding nursery,2024-05,2023/24,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Pupils excluding nursery,2025-05,2024/25,,232,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Reported capacity excluding nursery,2025-05,2024/25,,360,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Reception,81,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Year 1,65,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Year 2,84,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Year 3,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Year 4,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Year 5,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Infant School,102891,3182012,Pupils by curriculum year,2026-01,2025/26,Year 6,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils excluding nursery,2022-05,2021/22,,459,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Reported capacity excluding nursery,2022-05,2021/22,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Pupils excluding nursery,2023-05,2022/23,,424,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Reported capacity excluding nursery,2023-05,2022/23,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Pupils excluding nursery,2024-05,2023/24,,434,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Reported capacity excluding nursery,2024-05,2023/24,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Pupils excluding nursery,2025-05,2024/25,,410,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Reported capacity excluding nursery,2025-05,2024/25,,480,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Reception,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Year 1,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Year 2,0,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Year 3,77,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Year 4,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Year 5,115,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Heathfield Junior School,102890,3182011,Pupils by curriculum year,2026-01,2025/26,Year 6,88,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils excluding nursery,2022-05,2021/22,,382,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Pupils excluding nursery,2023-05,2022/23,,380,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Pupils excluding nursery,2024-05,2023/24,,329,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
